nội dung,answer,start_position
"Như vậy, việc giao xe hoặc để cho người không đủ điều kiện lái xe ô tô tham gia giao thông như quy định trên thì chủ xe ô tô sẽ bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng (đối với cá nhân) và từ 8.000.000 đồng đến 12.000.000 đồng (đối với tổ chức). Ngoài bị phạt tiền thì cá nhân, tổ chức vi phạm sẽ không bị áp dụng các hình thức xử phạt bổ sung hoặc biện pháp khắc phục hậu quả nào khác.",bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng (đối với cá nhân) và từ 8.000.000 đồng đến 12.000.000 đồng (đối với tổ chức),"{'text':['bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng (đối với cá nhân) và từ 8.000.000 đồng đến 12.000.000 đồng (đối với tổ chức)'],'answer_start':[ 128 ]}"
"Lỗi điều khiển xe đạp xe máy buông cả hai tay: Như vậy, hành vi buông cả hai tay khi điều khiển xe đạp, xe đạp máy sẽ bị xử lý bằng hình thức phạt tiền từ 100.000 đồng đến 200.000 đồng.",bị xử lý bằng hình thức phạt tiền từ 100.000 đồng đến 200.000 đồng,"{'text':['bị xử lý bằng hình thức phạt tiền từ 100.000 đồng đến 200.000 đồng'],'answer_start':[ 118 ]}"
"Khoản 1 Điều 60 Luật Giao thông đường bộ năm 2008 quy định về độ tuổi của người lái xe như sau: “a) Người đủ 16 tuổi trở lên được lái xe gắn máy có dung tích xi-lanh dưới 50 cm3; b) Người đủ 18 tuổi trở lên được lái xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi-lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg; xe ô tô chở người đến 9 chỗ ngồi;...”","được lái xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi-lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự","{'text':['được lái xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi-lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự'],'answer_start':[ 207 ]}"
"Khi lái xe đường trơn, lốp dễ bị trượt, khiến xe mất kiểm soát. Một số kinh nghiệm lái xe đường trơn sau đây sẽ giúp tránh tình trạng này. Không hãm phanh hoặc rẽ đột ngột khi lái xe đường trơn Lái xe chú ý tuyệt đối không hãm phanh hay rẽ đột ngột nếu xe mất độ bám đường do trơn ướt. Điều này có thể khiến xe văng theo quán tính, cực kỳ nguy hiểm cho chính tài xế và những người khác cùng lưu thông.",Không hãm phanh hoặc rẽ đột ngột khi lái xe đường trơn,"{'text':['Không hãm phanh hoặc rẽ đột ngột khi lái xe đường trơn'],'answer_start':[ 139 ]}"
"Dung tích xi lanh, hay còn gọi là thể tích công tác, thể tích làm việc của xi lanh, hoặc thể tích động cơ (tiếng Anh: engine displacement, displacement volume) là thể tích mà các piston di chuyển bên trong xi lanh của động cơ piston, không tính thể tích buồng đốt. Nói cách khác, dung tích xi lanh là thể tích giới hạn bởi thành xi lanh và các vị trí điểm chết trên (ĐCT), điểm chết dưới (ĐCD) của piston","là thể tích mà các piston di chuyển bên trong xi lanh của động cơ piston, không tính thể tích buồng đốt","{'text':['là thể tích mà các piston di chuyển bên trong xi lanh của động cơ piston, không tính thể tích buồng đốt'],'answer_start':[ 160 ]}"
"Tại điểm c khoản 1 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 200.000 đồng đến 400.000 đồng đối với người điều khiển xe thực hiện hành vi chuyển hướng không nhường đường cho: Các xe đi ngược chiều; người đi bộ, xe lăn của người khuyết tật đang qua đường tại nơi không có vạch kẻ đường cho người đi bộ",Phạt tiền từ 200.000 đồng đến 400.000 đồng,"{'text':['Phạt tiền từ 200.000 đồng đến 400.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm b khoản 2 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện hành vi điều khiển xe chạy tốc độ thấp hơn các xe khác đi cùng chiều mà không đi về bên phải phần đường xe chạy, trừ trường hợp các xe khác đi cùng chiều chạy quá tốc độ quy định. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng các hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên mà gây tai nạn giao thông thì bị tước quyền sử dụng giấy phép lái xe từ 02 tháng đến 04 tháng",Phạt tiền từ 400.000 đồng đến 600.000 đồng,"{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm g khoản 2 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện hành vi dừng xe, đỗ xe trên phần đường xe chạy ở đoạn đường ngoài đô thị nơi có lề đường rộng; dừng xe, đỗ xe không sát mép đường phía bên phải theo chiều đi ở nơi đường có lề đường hẹp hoặc không có lề đường; dừng xe, đỗ xe ngược với chiều lưu thông của làn đường; dừng xe, đỗ xe trên dải phân cách cố định ở giữa hai phần đường xe chạy; đỗ xe trên dốc không chèn bánh; mở cửa xe, để cửa xe mở không bảo đảm an toàn. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng các hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên mà gây tai nạn giao thông thì bị tước quyền sử dụng giấy phép lái xe từ 02 tháng đến 04 tháng.",Phạt tiền từ 400.000 đồng đến 600.000 đồng,"{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm p, q khoản 3 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau: không thắt dây an toàn khi điều khiển xe chạy trên đường; chở người trên xe ô tô không thắt dây an toàn khi xe đang chạy.",Phạt tiền từ 800.000 đồng đến 1.000.000 đồng,"{'text':['Phạt tiền từ 800.000 đồng đến 1.000.000 đồng'],'answer_start':[ 189 ]}"
"Tại điểm a khoản 4 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng đối với người điều khiển xe thực hiện hành vi dùng tay sử dụng điện thoại di động khi đang điều khiển xe chạy trên đường, bị tước quyền sử dụng Giấy phép lái xe từ 1 tháng đến 3 tháng. gây tai nạn giao thông thì bị tước quyền sử dụng giấy phép lái xe từ 02 tháng đến 04 tháng.",Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng,"{'text':['Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm a, b khoản 5 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau: không chấp hành hiệu lệnh của đèn tín hiệu giao thông; không chấp hành hiệu lệnh, hướng dẫn của người điều khiển giao thông hoặc người kiểm soát giao thông. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng các hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên thì bị tước quyền sử dụng Giấy phép lái xe từ 1 tháng đến 3 tháng. Thực hiện hành vi vi phạm trên mà gây tai nạn giao thông thì bị tước quyền sử dụng giấy phép lái xe từ 02 tháng đến 04 tháng.",Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng,"{'text':['Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng'],'answer_start':[ 189 ]}"
Tại điểm i khoản 5 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với người điều khiển xe thực hiện hành vi điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h,Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng,"{'text':['Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm c khoản 6 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe thực hiện hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng các hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên thì bị tước quyền sử dụng Giấy phép lái xe từ 10 tháng đến 12 tháng.",Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng,"{'text':['Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm b khoản 8 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 16.000.000 đồng đến 18.000.000 đồng đối với người điều khiển xe thực hiện hành vi gây tai nạn giao thông không dừng lại, không giữ nguyên hiện trường, bỏ trốn không đến trình báo với cơ quan có thẩm quyền, không tham gia cấp cứu người bị nạn, bị tước quyền sử dụng Giấy phép lái xe từ 5 tháng đến 7 tháng.",Phạt tiền từ 16.000.000 đồng đến 18.000.000 đồng,"{'text':['Phạt tiền từ 16.000.000 đồng đến 18.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm a khoản 10 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng đối với người điều khiển xe thực hiện hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 80 miligam/100 mililít máu hoặc vượt quá 0,4 miligam/1 lít khí thở. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng các hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên thì bị tước quyền sử dụng Giấy phép lái xe từ 22 tháng đến 24 tháng.",Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng,"{'text':['Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng'],'answer_start':[ 187 ]}"
Tại điểm b khoản 10 Điều 5 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng đối với người điều khiển xe thực hiện hành vi không chấp hành yêu cầu kiểm tra về nồng độ cồn của người thi hành công vụ. Bị tước quyền sử dụng Giấy phép lái xe từ 22 tháng đến 24 tháng,Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng,"{'text':['Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng'],'answer_start':[ 187 ]}"
Tại điểm b khoản 1 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với người điều khiển xe thực hiện hành vi không có báo hiệu xin vượt trước khi vượt.,Phạt tiền từ 100.000 đồng đến 200.000 đồng,"{'text':['Phạt tiền từ 100.000 đồng đến 200.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm g khoản 1 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với người điều khiển xe thực hiện hành vi chở người ngồi trên xe sử dụng ô (dù). Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên mà gây tai nạn giao thông thì bị tước quyền sử dụng giấy phép lái xe từ 02 tháng đến 04 tháng.",Phạt tiền từ 100.000 đồng đến 200.000 đồng,"{'text':['Phạt tiền từ 100.000 đồng đến 200.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm i, k Khoản 2 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 200.000 đồng đến 300.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau: không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ và chở người ngồi trên xe không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội “mũ bảo hiểm cho người đi mô tô, xe máy” không cài quai đúng quy cách, trừ trường hợp chở người bệnh đi cấp cứu, trẻ em dưới 06 tuổi, áp giải người có hành vi vi phạm pháp luật.",Phạt tiền từ 200.000 đồng đến 300.000 đồng,"{'text':['Phạt tiền từ 200.000 đồng đến 300.000 đồng'],'answer_start':[ 189 ]}"
"Tại điểm b Khoản 3 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện hành vi chở theo 03 người trên xe trở lên. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng các hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên thì bị tước quyền sử dụng Giấy phép lái xe từ 1 tháng đến 3 tháng. Thực hiện hành vi vi phạm trên mà gây tai nạn giao thông thì bị tước quyền sử dụng giấy phép lái xe từ 02 tháng đến 04 tháng.",Phạt tiền từ 400.000 đồng đến 600.000 đồng,"{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm c khoản 3 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện hành vi bấm còi, rú ga (nẹt pô) liên tục trong đô thị, khu đông dân cư, trừ các xe ưu tiên đang đi làm nhiệm vụ theo quy định. Ngoài việc bị phạt tiền, người điều khiển xe thực hiện hành vi vi phạm còn bị áp dụng hình thức xử phạt bổ sung sau: Thực hiện hành vi vi phạm trên mà gây tai nạn giao thông thì bị tước quyền sử dụng giấy phép lái xe từ 02 tháng đến 04 tháng.","Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện hành vi bấm còi, rú ga","{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện hành vi bấm còi, rú ga'],'answer_start':[ 186 ]}"
"Tại điểm k khoản 3 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người đang điều khiển xe hoặc chở người ngồi trên xe bám, kéo, đẩy xe khác, vật khác, dẫn dắt súc vật, mang vác vật cồng kềnh; chở người đứng trên yên, giá đèo hàng hoặc ngồi trên tay lái; xếp hàng hóa trên xe vượt quá giới hạn quy định; điều khiển xe kéo theo xe khác, vật khác.",Phạt tiền từ 400.000 đồng đến 600.000 đồng,"{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 186 ]}"
Tại điểm a khoản 4 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 600.000 đồng đến 1.000.000 đồng đối với người điều khiển xe thực hiện hành vi điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h,Phạt tiền từ 600.000 đồng đến 1.000.000 đồng,"{'text':['Phạt tiền từ 600.000 đồng đến 1.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm e, g khoản 4 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 600.000 đồng đến 1.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi sau: không chấp hành hiệu lệnh của đèn tín hiệu giao thông và không chấp hành hiệu lệnh, hướng dẫn của người điều khiển giao thông hoặc người kiểm soát giao thông.",Phạt tiền từ 600.000 đồng đến 1.000.000 đồng,"{'text':['Phạt tiền từ 600.000 đồng đến 1.000.000 đồng'],'answer_start':[ 189 ]}"
"Tại điểm h khoản 4 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 600.000 đồng đến 1.000.000 đồng đối với người điều khiển xe sử dụng ô (dù), điện thoại di động, thiết bị âm thanh, trừ thiết bị trợ thính.",Phạt tiền từ 600.000 đồng đến 1.000.000 đồng,"{'text':['Phạt tiền từ 600.000 đồng đến 1.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm c khoản 6 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng đối với người điều khiển xe thực hiện hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở.",Phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng,"{'text':['Phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm b khoản 8 Điều 6 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe thực hiện hành vi điều khiển xe lạng lách hoặc đánh võng trên đường bộ trong, ngoài đô thị.",Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng,"{'text':['Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng'],'answer_start':[ 186 ]}"
"Tại điểm a,b khoản 1 Điều 8 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 80.000 đồng đến 100.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau: không đi bên phải theo chiều đi của mình, đi không đúng phần đường quy định; dừng xe đột ngột; chuyển hướng không báo hiệu trước.",Phạt tiền từ 80.000 đồng đến 100.000 đồng,"{'text':['Phạt tiền từ 80.000 đồng đến 100.000 đồng'],'answer_start':[ 188 ]}"
"Tại điểm m khoản 1 Điều 8 Nghị định 100/2019/NĐ-CP ngày 30/12/2019 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định như sau: Phạt tiền từ 80.000 đồng đến 100.000 đồng đối với người điều khiển xe thực hiện hành vi dùng xe đẩy làm quầy hàng lưu động trên đường, gây cản trở giao thông",Phạt tiền từ 80.000 đồng đến 100.000 đồng,"{'text':['Phạt tiền từ 80.000 đồng đến 100.000 đồng'],'answer_start':[ 186 ]}"
"Theo quy định tại Điều 38 Luật Giao thông đường bộ, khi xảy ra tai nạn giao thông, cá nhân, cơ quan, tổ chức phải có trách nhiệm thực hiện các quy định sau: Đối với người điều khiển phương tiện và những người liên quan trực tiếp đến vụ tai nạn có trách nhiệm sau đây: Dừng ngay phương tiện; giữ nguyên hiện trường; cấp cứu người bị nạn và phải có mặt khi cơ quan có thẩm quyền yêu cầu; Ở lại nơi xảy ra tai nạn cho đến khi người của cơ quan công an đến, trừ trường hợp người điều khiển phương tiện cũng bị thương phải đưa đi cấp cứu hoặc phải đưa người bị nạn đi cấp cứu hoặc vì lý do bị đe dọa đến tính mạng, nhưng phải đến trình báo ngay với cơ quan công an nơi gần nhất; Cung cấp thông tin xác thực về vụ tai nạn cho cơ quan có thẩm quyền.",Dừng ngay phương tiện; giữ nguyên hiện trường; cấp cứu người bị nạn và phải có mặt khi cơ quan có thẩm quyền yêu cầu,"{'text':['Dừng ngay phương tiện; giữ nguyên hiện trường; cấp cứu người bị nạn và phải có mặt khi cơ quan có thẩm quyền yêu cầu'],'answer_start':[ 268 ]}"
"Theo Điều 39, Luật Giao thông đường thủy nội địa, khi hai phương tiện giao thông đường thủy đi đối hướng nhau và có nguy cơ va chạm thì người điều khiển phương tiện phải tránh và nhường đường theo các nguyên tắc sau: Phương tiện đi ngược nước phải tránh và nhường đường cho phương tiện đi xuôi nước. Trường hợp nước đứng, phương tiện nào phát tín hiệu xin đường trước thì phương tiện kia phải tránh và nhường đường; Phương tiện thô sơ phải tránh và nhường đường cho phương tiện có động cơ, phương tiện có động cơ công suất nhỏ hơn phải tránh và nhường đường cho phương tiện có động cơ công suất lớn hơn, phương tiện đi một mình phải tránh và nhường đường cho đoàn lai; Mọi phương tiện phải tránh bè và tránh phương tiện có tín hiệu mất chủ động, phương tiện bị nạn, phương tiện đang thực hiện nghiệp vụ trên luồng.",Phương tiện đi ngược nước phải tránh và nhường đường cho phương tiện đi xuôi nước,"{'text':['Phương tiện đi ngược nước phải tránh và nhường đường cho phương tiện đi xuôi nước'],'answer_start':[ 217 ]}"
"Khi có đủ điều kiện để vượt, các phương tiện giao thông đường thủy thực hiện vượt theo các nguyên tắc sau đây: Phương tiện xin vượt phải phát âm hiệu một tiếng dài, lặp lại nhiều lần; Phương tiện bị vượt, khi nghe thấy âm hiệu xin vượt, nếu thấy an toàn phải giảm tốc độ và phát âm hiệu điều động sang trái hoặc sang phải theo quy định và đi về phía luồng đã báo cho đến khi phương tiện xin vượt đã vượt qua; nếu không thể cho vượt thì phát âm hiệu 5 tiếng ngắn; Phương tiện xin vượt, khi nghe thấy âm hiệu điều động của phương tiện bị vượt thì mới được vượt; khi vượt phải phát âm hiệu báo phía vượt của mình và phải giữ khoảng cách ngang an toàn với phương tiện bị vượt.","Phương tiện xin vượt phải phát âm hiệu một tiếng dài, lặp lại nhiều lần","{'text':['Phương tiện xin vượt phải phát âm hiệu một tiếng dài, lặp lại nhiều lần'],'answer_start':[ 111 ]}"
"Trong quá trình lưu thông trên đường, nếu gặp các loại xe chở hàng cồng kềnh nêu trên, cần tuân thủ quy tắc xin vượt được quy định tại khoản 1, khoản 2 Điều 14 Luật giao thông đường bộ như sau: Thứ nhất: Xe xin vượt phải có báo hiệu bằng đèn hoặc còi; trong đô thị và khu đông dân cư từ 22 giờ đến 5 giờ chỉ được báo hiệu xin vượt bằng đèn. Thứ hai: Xe xin vượt chỉ được vượt khi không có chướng ngại vật phía trước, không có xe chạy ngược chiều trong đoạn đường định vượt, xe chạy trước không có tín hiệu vượt xe khác và đã tránh về bên phải.",Xe xin vượt phải có báo hiệu bằng đèn hoặc còi; trong đô thị và khu đông dân cư từ 22 giờ đến 5 giờ chỉ được báo hiệu xin vượt bằng đèn,"{'text':['Xe xin vượt phải có báo hiệu bằng đèn hoặc còi; trong đô thị và khu đông dân cư từ 22 giờ đến 5 giờ chỉ được báo hiệu xin vượt bằng đèn'],'answer_start':[ 204 ]}"
"Tại khoản 1 điều 12 Luật giao thông đường bộ quy định: Người lái xe, người điều khiển xe máy chuyên dùng phải tuân thủ quy định về tốc độ xe chạy trên đường và phải giữ một khoảng cách an toàn đối với xe chạy liền trước xe của mình; ở nơi có biển báo ""Cự ly tối thiểu giữa hai xe"" phải giữ khoảng cách không nhỏ hơn số ghi trên biển báo. Thông tư số 13/2009-TT-BGTVT ngày 17/7/2009 của Bộ giao thông vận tải quy định về tốc độ và khoảng cách của xe cơ giới, xe máy chuyên dùng tham gia giao thông đường bộ. Theo Thông tư này, người điều khiển phương tiện tham gia giao thông đường bộ phải nghiêm chỉnh chấp hành quy định về tốc độ, khoảng cách an toàn giữa hai xe cơ giới.","phải giữ một khoảng cách an toàn đối với xe chạy liền trước xe của mình; ở nơi có biển báo ""Cự ly tối thiểu giữa hai xe"" phải giữ khoảng cách không nhỏ hơn số ghi trên biển báo","{'text':['phải giữ một khoảng cách an toàn đối với xe chạy liền trước xe của mình; ở nơi có biển báo ""Cự ly tối thiểu giữa hai xe"" phải giữ khoảng cách không nhỏ hơn số ghi trên biển báo'],'answer_start':[ 160 ]}"
"Trường hợp khi điều khiển phương tiện giao thông đến chỗ giao nhau với đường sắt không có đèn tín hiệu, rào chắn và chuông báo hiệu, người tham gia giao thông cần thực hiện đúng quy định tại khoản 4 Điều 25 Luật giao thông đường bộ như sau: “Tại nơi đường bộ giao nhau cùng mức với đường sắt không có đèn tín hiệu, rào chắn và chuông báo hiệu, người tham gia giao thông đường bộ phải quan sát cả hai phía, khi thấy chắc chắn không có phương tiện đường sắt đang đi tới mới được đi qua, nếu thấy có phương tiện đường sắt đang đi tới thì phải dừng lại và giữ khoảng cách tối thiểu 5 mét tính từ ray gần nhất và chỉ khi phương tiện đường sắt đã đi qua mới được đi”.","phải quan sát cả hai phía, khi thấy chắc chắn không có phương tiện đường sắt đang đi tới mới được đi qua","{'text':['phải quan sát cả hai phía, khi thấy chắc chắn không có phương tiện đường sắt đang đi tới mới được đi qua'],'answer_start':[ 379 ]}"
"Tại điểm đ khoản 1 điều 48 Nghị định 171 của Chính phủ về quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt đã quy định: Phạt tiền từ 300.000 đồng đến 500.000 đồng đối với cá nhân thực hiện hành vi phơi rơm, rạ, nông sản, để các vật phẩm khác trên đường sắt hoặc các công trình đường sắt khác. Ngoài ra, đối với hành vi này tại điểm d khoản 5 điều 48 còn quy định “buộc phải đưa rơm, rạ, nông sản, các vật phẩm khác ra khỏi đường sắt hoặc các công trình đường sắt khác”.",Phạt tiền từ 300.000 đồng đến 500.000 đồng,"{'text':['Phạt tiền từ 300.000 đồng đến 500.000 đồng'],'answer_start':[ 155 ]}"
